dateTime,date,hour,minute,weatherID,sunrise,sunset,weatherMain,weatherDescr,temperature,feels_like,humidity,pressure,tempMin,tempMax,clouds,visibility,windDeg,windSpeed
2024-02-27 09:29:00,2024-02-27,9,29,803,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,broken clouds,9,4.27,84,1014,7,10,75,10000,220,10
2024-02-27 09:57:00,2024-02-27,9,57,803,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,broken clouds,9,5.44,84,1014,8,10,75,10000,220,9
2024-02-27 11:57:00,2024-02-27,11,57,300,2024-02-27 07:18:00,2024-02-27 17:57:00,Drizzle,light intensity drizzle,11,10.02,87,1015,9,11,75,7000,230,8
2024-02-27 13:57:00,2024-02-27,13,57,803,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,broken clouds,10,9.61,77,1015,10,11,75,10000,280,9
2024-02-27 15:57:00,2024-02-27,15,57,803,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,broken clouds,10,8.92,62,1016,9,11,75,10000,280,10
2024-02-27 17:57:00,2024-02-27,17,57,802,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,scattered clouds,9,5.75,69,1017,8,9,40,10000,280,5
2024-02-27 19:57:00,2024-02-27,19,57,802,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,scattered clouds,8,5.17,72,1018,7,9,40,10000,240,5
2024-02-27 21:57:00,2024-02-27,21,57,803,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,broken clouds,7,5.55,74,1018,6,8,75,10000,240,3
2024-02-27 23:57:00,2024-02-27,23,57,802,2024-02-27 07:18:00,2024-02-27 17:57:00,Clouds,scattered clouds,6,2.92,77,1018,6,7,40,10000,220,5
2024-02-28 01:57:00,2024-02-28,1,57,803,2024-02-28 07:16:00,2024-02-28 17:59:00,Clouds,broken clouds,6,3.78,80,1017,5,7,75,10000,200,3
2024-02-28 03:57:00,2024-02-28,3,57,501,2024-02-28 07:16:00,2024-02-28 17:59:00,Rain,moderate rain,7,3.65,79,1015,6,7,75,10000,170,4
2024-02-28 05:57:00,2024-02-28,5,57,500,2024-02-28 07:16:00,2024-02-28 17:59:00,Rain,light rain,7,3.29,78,1014,6,8,75,10000,200,6
2024-02-28 07:57:00,2024-02-28,7,57,803,2024-02-28 07:16:00,2024-02-28 17:59:00,Clouds,broken clouds,7,3.19,88,1012,6,8,75,4000,210,7
2024-02-28 09:57:00,2024-02-28,9,57,803,2024-02-28 07:16:00,2024-02-28 17:59:00,Clouds,broken clouds,11,10.07,89,1010,8,11,75,10000,220,9
